iter	Passed	Remaining
829	3320	680
830	3324	676
831	3327	671
832	3331	667
833	3334	663
834	3338	659
835	3342	655
836	3345	651
837	3349	647
838	3352	643
839	3356	639
840	3359	635
841	3363	631
842	3367	627
843	3370	623
844	3374	618
845	3378	614
846	3381	610
847	3384	606
848	3388	602
849	3392	598
850	3395	594
851	3399	590
852	3403	586
853	3406	582
854	3409	578
855	3413	574
856	3416	570
857	3420	566
858	3424	562
859	3427	557
860	3431	553
861	3434	549
862	3438	545
863	3441	541
864	3444	537
865	3448	533
866	3451	529
867	3455	525
868	3458	521
869	3462	517
870	3465	513
871	3469	509
872	3474	505
873	3484	502
874	3492	498
875	3501	495
876	3507	491
877	3515	488
878	3521	484
879	3527	481
880	3535	477
881	3540	473
882	3547	470
883	3553	466
884	3558	462
885	3564	458
886	3570	454
887	3576	451
888	3581	447
889	3587	443
890	3594	439
891	3599	435
892	3604	431
893	3610	428
894	3615	424
895	3622	420
896	3628	416
897	3634	412
898	3639	408
899	3646	405
900	3652	401
901	3658	397
902	3663	393
903	3668	389
904	3673	385
905	3678	381
906	3683	377
907	3689	373
908	3696	370
909	3701	366
910	3706	362
911	3711	358
912	3717	354
913	3723	350
914	3729	346
915	3733	342
916	3736	338
917	3740	334
918	3744	329
919	3747	325
920	3751	321
921	3754	317
922	3758	313
923	3762	309
924	3766	305
925	3769	301
926	3773	297
927	3776	293
928	3780	288
929	3784	284
930	3787	280
931	3791	276
932	3795	272
933	3799	268
934	3803	264
935	3806	260
936	3810	256
937	3814	252
938	3818	248
939	3821	243
940	3825	239
941	3828	235
942	3832	231
943	3835	227
944	3839	223
945	3842	219
946	3846	215
947	3849	211
948	3853	207
949	3857	203
950	3860	198
951	3863	194
952	3867	190
953	3870	186
954	3874	182
955	3878	178
956	3882	174
957	3885	170
958	3889	166
959	3893	162
960	3896	158
961	3899	154
962	3903	149
963	3907	145
964	3910	141
965	3914	137
966	3918	133
967	3922	129
968	3926	125
969	3929	121
970	3933	117
971	3936	113
972	3940	109
973	3943	105
974	3947	101
975	3951	97
976	3954	93
977	3958	89
978	3961	84
979	3965	80
980	3968	76
981	3972	72
982	3975	68
983	3978	64
984	3982	60
985	3986	56
986	3989	52
987	3993	48
988	3997	44
989	4000	40
990	4004	36
991	4008	32
992	4012	28
993	4016	24
994	4020	20
995	4024	16
996	4028	12
997	4031	8
998	4035	4
999	4038	0
